Flight Number,Origin City,Destination City,Departure Date,Arrival Date,Total Duration,Stops,Airline,Airline,Price,Review
FL-209,Ahmedabad,Delhi,2024-01-09 16:00,2024-01-09 16:00,2h 12m,0,9W,Jet Airways,8422,Good
FL-210,Amritsar,Delhi,2024-01-09 17:00,2024-01-09 17:00,2h 33m,0,9W,Jet Airways,11367,Excellent
FL-211,Baroda,Mumbai,2024-01-09 18:00,2024-01-09 18:00,3h 10m,0,9W,Jet Airways,8245,Excellent
FL-212,Bhuj,Mumbai,2024-01-09 19:00,2024-01-09 19:00,2h 11m,0,9W,Jet Airways,14350,Good
FL-213,Bhopal,Mumbai,2024-01-09 20:00,2024-01-09 20:00,1h 38m,0,9W,Jet Airways,3111,Good
FL-214,Bhopal,Delhi,2024-01-09 21:00,2024-01-09 21:00,2h 36m,0,9W,Jet Airways,5683,Good
FL-215,Bhaunagar,Mumbai,2024-01-09 22:00,2024-01-09 22:00,4h 40m,0,9W,Jet Airways,8438,Good
FL-216,Bangalore,Mumbai,2024-01-09 23:00,2024-01-09 23:00,5h 1m,0,9W,Jet Airways,7545,Good
FL-217,Bangalore,Kolkata,2024-01-10 00:00,2024-01-10 00:00,3h 57m,0,9W,Jet Airways,5355,Good
FL-218,Bangalore,Coimbatore,2024-01-10 01:00,2024-01-10 01:00,1h 25m,0,9W,Jet Airways,7854,Excellent
FL-219,Bangalore,Kochi,2024-01-10 02:00,2024-01-10 02:00,4h 6m,0,9W,Jet Airways,12063,Excellent
FL-220,Bangalore,Delhi,2024-01-10 03:00,2024-01-10 03:00,2h 49m,0,9W,Jet Airways,11039,Good
FL-221,Bangalore,Goa,2024-01-10 04:00,2024-01-10 04:00,1h 48m,0,9W,Jet Airways,7886,Excellent
FL-222,Bangalore,Hyderabad,2024-01-10 05:00,2024-01-10 05:00,1h 21m,0,9W,Jet Airways,3447,Excellent
FL-223,Bangalore,Indore,2024-01-10 06:00,2024-01-10 06:00,4h 6m,0,9W,Jet Airways,3871,Good
FL-224,Bangalore,Mangalore,2024-01-10 07:00,2024-01-10 07:00,2h 53m,0,9W,Jet Airways,13576,Good
FL-225,Bangalore,Madras,2024-01-10 08:00,2024-01-10 08:00,3h 34m,0,9W,Jet Airways,4552,Excellent
FL-226,Bangalore,Pune,2024-01-10 09:00,2024-01-10 09:00,4h 15m,0,9W,Jet Airways,8644,Good
FL-227,Bangalore,Trivandrum,2024-01-10 10:00,2024-01-10 10:00,2h 4m,0,9W,Jet Airways,3189,Good
FL-228,Bangalore,Vishakhapatnam,2024-01-10 11:00,2024-01-10 11:00,3h 24m,0,9W,Jet Airways,4471,Excellent
FL-229,Mumbai,Ahmedabad,2024-01-10 12:00,2024-01-10 12:00,3h 15m,0,9W,Jet Airways,14709,Excellent
FL-230,Mumbai,Baroda,2024-01-10 13:00,2024-01-10 13:00,2h 3m,0,9W,Jet Airways,11083,Excellent
FL-231,Mumbai,Bhuj,2024-01-10 14:00,2024-01-10 14:00,5h 8m,0,9W,Jet Airways,14849,Excellent
FL-232,Mumbai,Bhopal,2024-01-10 15:00,2024-01-10 15:00,2h 20m,0,9W,Jet Airways,12294,Good
FL-233,Mumbai,Bhaunagar,2024-01-10 16:00,2024-01-10 16:00,5h 54m,0,9W,Jet Airways,6369,Excellent
FL-234,Mumbai,Bangalore,2024-01-10 17:00,2024-01-10 17:00,5h 23m,0,9W,Jet Airways,3122,Excellent
FL-235,Mumbai,Calicut,2024-01-10 18:00,2024-01-10 18:00,4h 36m,0,9W,Jet Airways,7995,Excellent
FL-236,Mumbai,Kolkata,2024-01-10 19:00,2024-01-10 19:00,3h 39m,0,9W,Jet Airways,14609,Good
FL-237,Mumbai,Coimbatore,2024-01-10 20:00,2024-01-10 20:00,5h 10m,0,9W,Jet Airways,10977,Excellent
FL-238,Mumbai,Kochi,2024-01-10 21:00,2024-01-10 21:00,4h 26m,0,9W,Jet Airways,5077,Good
FL-239,Mumbai,Delhi,2024-01-10 22:00,2024-01-10 22:00,2h 42m,0,9W,Jet Airways,8728,Good
FL-240,Mumbai,Diu,2024-01-10 23:00,2024-01-10 23:00,5h 36m,0,9W,Jet Airways,10898,Excellent
FL-241,Mumbai,Goa,2024-01-11 00:00,2024-01-11 00:00,5h 39m,0,9W,Jet Airways,12066,Excellent
FL-242,Mumbai,Hyderabad,2024-01-11 01:00,2024-01-11 01:00,4h 50m,0,9W,Jet Airways,3963,Excellent
FL-243,Mumbai,Indore,2024-01-11 02:00,2024-01-11 02:00,2h 3m,0,9W,Jet Airways,4892,Excellent
FL-244,Mumbai,Chandigarh,2024-01-11 03:00,2024-01-11 03:00,3h 47m,0,9W,Jet Airways,5348,Good
FL-245,Mumbai,Mangalore,2024-01-11 04:00,2024-01-11 04:00,2h 12m,0,9W,Jet Airways,6429,Excellent
FL-246,Mumbai,Aurangabad,2024-01-11 05:00,2024-01-11 05:00,3h 37m,0,9W,Jet Airways,3417,Excellent
FL-247,Mumbai,Jaipur,2024-01-11 06:00,2024-01-11 06:00,5h 26m,0,9W,Jet Airways,3917,Good
FL-248,Mumbai,Jodhpur,2024-01-11 07:00,2024-01-11 07:00,1h 2m,0,9W,Jet Airways,3927,Good
FL-249,Mumbai,Lucknow,2024-01-11 08:00,2024-01-11 08:00,2h 14m,0,9W,Jet Airways,12845,Good
FL-250,Mumbai,Madras,2024-01-11 09:00,2024-01-11 09:00,1h 7m,0,9W,Jet Airways,10504,Excellent
FL-251,Mumbai,Nagpur,2024-01-11 10:00,2024-01-11 10:00,1h 12m,0,9W,Jet Airways,10940,Excellent
FL-252,Mumbai,Pune,2024-01-11 11:00,2024-01-11 11:00,3h 34m,0,9W,Jet Airways,5729,Good
FL-253,Mumbai,Rajkot,2024-01-11 12:00,2024-01-11 12:00,1h 49m,0,9W,Jet Airways,4914,Excellent
FL-254,Mumbai,Raipur,2024-01-11 13:00,2024-01-11 13:00,4h 49m,0,9W,Jet Airways,12205,Good
FL-255,Mumbai,Trivandrum,2024-01-11 14:00,2024-01-11 14:00,4h 13m,0,9W,Jet Airways,10118,Good
FL-256,Mumbai,Udaipur,2024-01-11 15:00,2024-01-11 15:00,5h 32m,0,9W,Jet Airways,4373,Excellent
FL-257,Mumbai,Vishakhapatnam,2024-01-11 16:00,2024-01-11 16:00,5h 51m,0,9W,Jet Airways,10476,Good
FL-258,Calicut,Mumbai,2024-01-11 17:00,2024-01-11 17:00,3h 20m,0,9W,Jet Airways,14245,Excellent
FL-259,Kolkata,Aizwal,2024-01-11 18:00,2024-01-11 18:00,2h 12m,0,9W,Jet Airways,10837,Good
FL-260,Kolkata,Bangalore,2024-01-11 19:00,2024-01-11 19:00,1h 16m,0,9W,Jet Airways,6471,Good
FL-261,Kolkata,Mumbai,2024-01-11 20:00,2024-01-11 20:00,3h 55m,0,9W,Jet Airways,6119,Excellent
FL-262,Kolkata,Delhi,2024-01-11 21:00,2024-01-11 21:00,3h 36m,0,9W,Jet Airways,9783,Excellent
FL-263,Kolkata,Guwahati,2024-01-11 22:00,2024-01-11 22:00,5h 45m,0,9W,Jet Airways,14661,Excellent
FL-264,Kolkata,Agartala,2024-01-11 23:00,2024-01-11 23:00,3h 11m,0,9W,Jet Airways,7863,Excellent
FL-265,Kolkata,Baghdogra,2024-01-12 00:00,2024-01-12 00:00,1h 4m,0,9W,Jet Airways,8771,Good
FL-266,Kolkata,Ranchi,2024-01-12 01:00,2024-01-12 01:00,4h 56m,0,9W,Jet Airways,4230,Good
FL-267,Kolkata,Silchar,2024-01-12 02:00,2024-01-12 02:00,3h 59m,0,9W,Jet Airways,5882,Good
FL-268,Kolkata,Port Blair,2024-01-12 03:00,2024-01-12 03:00,2h 16m,0,9W,Jet Airways,4583,Excellent
FL-269,Kolkata,Patina,2024-01-12 04:00,2024-01-12 04:00,3h 30m,0,9W,Jet Airways,12937,Good
FL-270,Kolkata,Varanasi,2024-01-12 05:00,2024-01-12 05:00,3h 19m,0,9W,Jet Airways,7050,Good
FL-271,Kolkata,Vishakhapatnam,2024-01-12 06:00,2024-01-12 06:00,2h 57m,0,9W,Jet Airways,12645,Excellent
FL-272,Coimbatore,Bangalore,2024-01-12 07:00,2024-01-12 07:00,2h 44m,0,9W,Jet Airways,9595,Good
FL-273,Coimbatore,Mumbai,2024-01-12 08:00,2024-01-12 08:00,5h 59m,0,9W,Jet Airways,4516,Good
FL-274,Coimbatore,Madras,2024-01-12 09:00,2024-01-12 09:00,4h 22m,0,9W,Jet Airways,4061,Excellent
FL-275,Kochi,Bangalore,2024-01-12 10:00,2024-01-12 10:00,3h 53m,0,9W,Jet Airways,10422,Good
FL-276,Kochi,Mumbai,2024-01-12 11:00,2024-01-12 11:00,4h 32m,0,9W,Jet Airways,14463,Excellent
FL-277,Kochi,Madras,2024-01-12 12:00,2024-01-12 12:00,3h 52m,0,9W,Jet Airways,12530,Excellent
FL-278,Dehra Dun,Delhi,2024-01-12 13:00,2024-01-12 13:00,4h 45m,0,9W,Jet Airways,11398,Good
FL-279,Delhi,Ahmedabad,2024-01-12 14:00,2024-01-12 14:00,5h 30m,0,9W,Jet Airways,4161,Excellent
FL-280,Delhi,Amritsar,2024-01-12 15:00,2024-01-12 15:00,3h 2m,0,9W,Jet Airways,6186,Good
FL-281,Delhi,Bhopal,2024-01-12 16:00,2024-01-12 16:00,2h 25m,0,9W,Jet Airways,3369,Good
FL-282,Delhi,Bangalore,2024-01-12 17:00,2024-01-12 17:00,3h 25m,0,9W,Jet Airways,10770,Excellent
FL-283,Delhi,Mumbai,2024-01-12 18:00,2024-01-12 18:00,3h 28m,0,9W,Jet Airways,13055,Excellent
FL-284,Delhi,Kolkata,2024-01-12 19:00,2024-01-12 19:00,2h 13m,0,9W,Jet Airways,4448,Excellent
FL-285,Delhi,Dehra Dun,2024-01-12 20:00,2024-01-12 20:00,2h 30m,0,9W,Jet Airways,12680,Excellent
FL-286,Delhi,Guwahati,2024-01-12 21:00,2024-01-12 21:00,2h 57m,0,9W,Jet Airways,6466,Excellent
FL-287,Delhi,Gorakhpur,2024-01-12 22:00,2024-01-12 22:00,1h 27m,0,9W,Jet Airways,11707,Good
FL-288,Delhi,Hyderabad,2024-01-12 23:00,2024-01-12 23:00,3h 7m,0,9W,Jet Airways,14206,Good
FL-289,Delhi,Indore,2024-01-13 00:00,2024-01-13 00:00,4h 16m,0,9W,Jet Airways,11999,Excellent
FL-290,Delhi,Baghdogra,2024-01-13 01:00,2024-01-13 01:00,1h 13m,0,9W,Jet Airways,10642,Good
FL-291,Delhi,Chandigarh,2024-01-13 02:00,2024-01-13 02:00,4h 50m,0,9W,Jet Airways,13858,Excellent
FL-292,Delhi,Jammu,2024-01-13 03:00,2024-01-13 03:00,5h 4m,0,9W,Jet Airways,7075,Excellent
FL-293,Delhi,Leh,2024-01-13 04:00,2024-01-13 04:00,2h 4m,0,9W,Jet Airways,12226,Excellent
FL-294,Delhi,Ranchi,2024-01-13 05:00,2024-01-13 05:00,3h 13m,0,9W,Jet Airways,9548,Good
FL-295,Delhi,Jaipur,2024-01-13 06:00,2024-01-13 06:00,4h 11m,0,9W,Jet Airways,11845,Good
FL-296,Delhi,Jodhpur,2024-01-13 07:00,2024-01-13 07:00,5h 3m,0,9W,Jet Airways,14707,Excellent
FL-297,Delhi,Lucknow,2024-01-13 08:00,2024-01-13 08:00,1h 2m,0,9W,Jet Airways,4260,Good
FL-298,Delhi,Madras,2024-01-13 09:00,2024-01-13 09:00,2h 21m,0,9W,Jet Airways,8245,Good
FL-299,Delhi,Patina,2024-01-13 10:00,2024-01-13 10:00,3h 56m,0,9W,Jet Airways,14714,Excellent
FL-300,Delhi,Pune,2024-01-13 11:00,2024-01-13 11:00,2h 37m,0,9W,Jet Airways,4722,Excellent
FL-301,Delhi,Raipur,2024-01-13 12:00,2024-01-13 12:00,5h 42m,0,9W,Jet Airways,14289,Good
FL-302,Delhi,Srinagar,2024-01-13 13:00,2024-01-13 13:00,3h 33m,0,9W,Jet Airways,6838,Excellent
FL-303,Delhi,Udaipur,2024-01-13 14:00,2024-01-13 14:00,5h 37m,0,9W,Jet Airways,4952,Good
FL-304,Delhi,Varanasi,2024-01-13 15:00,2024-01-13 15:00,4h 44m,0,9W,Jet Airways,12162,Excellent
FL-305,Mohanbari,Guwahati,2024-01-13 16:00,2024-01-13 16:00,4h 1m,0,9W,Jet Airways,14429,Excellent
FL-306,Diu,Porbandar,2024-01-13 17:00,2024-01-13 17:00,5h 2m,0,9W,Jet Airways,13718,Excellent
FL-307,Guwahati,Aizwal,2024-01-13 18:00,2024-01-13 18:00,1h 56m,0,9W,Jet Airways,3455,Good
FL-308,Guwahati,Kolkata,2024-01-13 19:00,2024-01-13 19:00,2h 23m,0,9W,Jet Airways,5754,Excellent
FL-309,Guwahati,Delhi,2024-01-13 20:00,2024-01-13 20:00,3h 22m,0,9W,Jet Airways,11795,Good
FL-310,Guwahati,Mohanbari,2024-01-13 21:00,2024-01-13 21:00,5h 11m,0,9W,Jet Airways,6060,Good
FL-311,Guwahati,Imphal,2024-01-13 22:00,2024-01-13 22:00,1h 15m,0,9W,Jet Airways,5126,Good
FL-312,Guwahati,Silchar,2024-01-13 23:00,2024-01-13 23:00,1h 3m,0,9W,Jet Airways,3023,Excellent
FL-313,Goa,Bangalore,2024-01-14 00:00,2024-01-14 00:00,2h 58m,0,9W,Jet Airways,14479,Excellent
FL-314,Goa,Mumbai,2024-01-14 01:00,2024-01-14 01:00,1h 48m,0,9W,Jet Airways,13215,Excellent
FL-315,Goa,Madras,2024-01-14 02:00,2024-01-14 02:00,3h 5m,0,9W,Jet Airways,14746,Excellent
FL-316,Gorakhpur,Delhi,2024-01-14 03:00,2024-01-14 03:00,3h 40m,0,9W,Jet Airways,12185,Excellent
FL-317,Hyderabad,Bangalore,2024-01-14 04:00,2024-01-14 04:00,5h 49m,0,9W,Jet Airways,4787,Good
FL-318,Hyderabad,Mumbai,2024-01-14 05:00,2024-01-14 05:00,4h 15m,0,9W,Jet Airways,5655,Excellent
FL-319,Hyderabad,Delhi,2024-01-14 06:00,2024-01-14 06:00,1h 18m,0,9W,Jet Airways,3981,Good
FL-320,Hyderabad,Madras,2024-01-14 07:00,2024-01-14 07:00,5h 5m,0,9W,Jet Airways,12905,Good
FL-321,Hyderabad,Pune,2024-01-14 08:00,2024-01-14 08:00,1h 44m,0,9W,Jet Airways,9406,Excellent
FL-322,Hyderabad,Rajahmundry,2024-01-14 09:00,2024-01-14 09:00,5h 20m,0,9W,Jet Airways,12376,Good
FL-323,Indore,Bangalore,2024-01-14 10:00,2024-01-14 10:00,5h 28m,0,9W,Jet Airways,11365,Excellent
FL-324,Indore,Mumbai,2024-01-14 11:00,2024-01-14 11:00,5h 33m,0,9W,Jet Airways,7016,Good
FL-325,Indore,Delhi,2024-01-14 12:00,2024-01-14 12:00,5h 43m,0,9W,Jet Airways,7442,Good
FL-326,Indore,Pune,2024-01-14 13:00,2024-01-14 13:00,3h 54m,0,9W,Jet Airways,14844,Excellent
FL-327,Imphal,Guwahati,2024-01-14 14:00,2024-01-14 14:00,4h 56m,0,9W,Jet Airways,8216,Excellent
FL-328,Agartala,Kolkata,2024-01-14 15:00,2024-01-14 15:00,2h 39m,0,9W,Jet Airways,12206,Excellent
FL-329,Baghdogra,Kolkata,2024-01-14 16:00,2024-01-14 16:00,4h 58m,0,9W,Jet Airways,3957,Good
FL-330,Baghdogra,Delhi,2024-01-14 17:00,2024-01-14 17:00,2h 42m,0,9W,Jet Airways,9289,Excellent
FL-331,Chandigarh,Mumbai,2024-01-14 18:00,2024-01-14 18:00,5h 30m,0,9W,Jet Airways,7646,Excellent
FL-332,Chandigarh,Delhi,2024-01-14 19:00,2024-01-14 19:00,1h 0m,0,9W,Jet Airways,14674,Excellent
FL-333,Mangalore,Bangalore,2024-01-14 20:00,2024-01-14 20:00,3h 11m,0,9W,Jet Airways,6396,Good
FL-334,Mangalore,Mumbai,2024-01-14 21:00,2024-01-14 21:00,5h 35m,0,9W,Jet Airways,7351,Good
FL-335,Jammu,Delhi,2024-01-14 22:00,2024-01-14 22:00,2h 29m,0,9W,Jet Airways,14411,Good
FL-336,Leh,Delhi,2024-01-14 23:00,2024-01-14 23:00,5h 31m,0,9W,Jet Airways,6483,Good
FL-337,Madurai,Madras,2024-01-15 00:00,2024-01-15 00:00,1h 45m,0,9W,Jet Airways,11147,Excellent
FL-338,Ranchi,Kolkata,2024-01-15 01:00,2024-01-15 01:00,3h 35m,0,9W,Jet Airways,8927,Good
FL-339,Ranchi,Delhi,2024-01-15 02:00,2024-01-15 02:00,3h 3m,0,9W,Jet Airways,3214,Good
FL-340,Silchar,Kolkata,2024-01-15 03:00,2024-01-15 03:00,4h 40m,0,9W,Jet Airways,3905,Excellent
FL-341,Silchar,Guwahati,2024-01-15 04:00,2024-01-15 04:00,3h 30m,0,9W,Jet Airways,4657,Excellent
FL-342,Aurangabad,Mumbai,2024-01-15 05:00,2024-01-15 05:00,1h 4m,0,9W,Jet Airways,3768,Good
FL-343,Port Blair,Kolkata,2024-01-15 06:00,2024-01-15 06:00,2h 32m,0,9W,Jet Airways,9798,Good
FL-344,Port Blair,Madras,2024-01-15 07:00,2024-01-15 07:00,1h 28m,0,9W,Jet Airways,8874,Excellent
FL-345,Jaipur,Mumbai,2024-01-15 08:00,2024-01-15 08:00,2h 58m,0,9W,Jet Airways,12819,Excellent
FL-346,Jaipur,Delhi,2024-01-15 09:00,2024-01-15 09:00,1h 54m,0,9W,Jet Airways,9702,Good
FL-347,Jodhpur,Mumbai,2024-01-15 10:00,2024-01-15 10:00,2h 16m,0,9W,Jet Airways,12327,Excellent
FL-348,Jodhpur,Delhi,2024-01-15 11:00,2024-01-15 11:00,5h 22m,0,9W,Jet Airways,4849,Excellent
FL-349,Lucknow,Mumbai,2024-01-15 12:00,2024-01-15 12:00,2h 6m,0,9W,Jet Airways,13762,Excellent
FL-350,Lucknow,Delhi,2024-01-15 13:00,2024-01-15 13:00,2h 58m,0,9W,Jet Airways,6509,Excellent
FL-351,Madras,Bangalore,2024-01-15 14:00,2024-01-15 14:00,4h 25m,0,9W,Jet Airways,9430,Good
FL-352,Madras,Mumbai,2024-01-15 15:00,2024-01-15 15:00,1h 55m,0,9W,Jet Airways,5363,Excellent
FL-353,Madras,Coimbatore,2024-01-15 16:00,2024-01-15 16:00,5h 46m,0,9W,Jet Airways,3067,Good
FL-354,Madras,Kochi,2024-01-15 17:00,2024-01-15 17:00,3h 28m,0,9W,Jet Airways,6337,Excellent
FL-355,Madras,Delhi,2024-01-15 18:00,2024-01-15 18:00,1h 32m,0,9W,Jet Airways,10831,Excellent
FL-356,Madras,Goa,2024-01-15 19:00,2024-01-15 19:00,3h 41m,0,9W,Jet Airways,12319,Excellent
FL-357,Madras,Hyderabad,2024-01-15 20:00,2024-01-15 20:00,1h 56m,0,9W,Jet Airways,5851,Excellent
FL-358,Madras,Madurai,2024-01-15 21:00,2024-01-15 21:00,3h 4m,0,9W,Jet Airways,8368,Good
FL-359,Madras,Port Blair,2024-01-15 22:00,2024-01-15 22:00,2h 35m,0,9W,Jet Airways,10217,Good
FL-360,Madras,Tiruchirappalli,2024-01-15 23:00,2024-01-15 23:00,4h 48m,0,9W,Jet Airways,4060,Excellent
FL-361,Nagpur,Mumbai,2024-01-16 00:00,2024-01-16 00:00,4h 27m,0,9W,Jet Airways,14558,Excellent
FL-362,Patina,Kolkata,2024-01-16 01:00,2024-01-16 01:00,3h 32m,0,9W,Jet Airways,10197,Good
FL-363,Patina,Delhi,2024-01-16 02:00,2024-01-16 02:00,2h 49m,0,9W,Jet Airways,13268,Excellent
FL-364,Porbandar,Mumbai,2024-01-16 03:00,2024-01-16 03:00,4h 10m,0,9W,Jet Airways,11844,Good
FL-365,Pune,Bangalore,2024-01-16 04:00,2024-01-16 04:00,3h 33m,0,9W,Jet Airways,10728,Good
FL-366,Pune,Mumbai,2024-01-16 05:00,2024-01-16 05:00,5h 35m,0,9W,Jet Airways,11648,Good
FL-367,Pune,Delhi,2024-01-16 06:00,2024-01-16 06:00,4h 58m,0,9W,Jet Airways,7973,Good
FL-368,Pune,Hyderabad,2024-01-16 07:00,2024-01-16 07:00,4h 55m,0,9W,Jet Airways,7825,Excellent
FL-369,Pune,Indore,2024-01-16 08:00,2024-01-16 08:00,2h 39m,0,9W,Jet Airways,8834,Excellent
FL-370,Rajkot,Mumbai,2024-01-16 09:00,2024-01-16 09:00,2h 24m,0,9W,Jet Airways,11885,Excellent
FL-371,Rajahmundry,Hyderabad,2024-01-16 10:00,2024-01-16 10:00,5h 25m,0,9W,Jet Airways,3157,Good
FL-372,Raipur,Bhopal,2024-01-16 11:00,2024-01-16 11:00,4h 49m,0,9W,Jet Airways,5618,Excellent
FL-373,Raipur,Mumbai,2024-01-16 12:00,2024-01-16 12:00,2h 48m,0,9W,Jet Airways,6855,Excellent
FL-374,Raipur,Delhi,2024-01-16 13:00,2024-01-16 13:00,5h 46m,0,9W,Jet Airways,7099,Good
FL-375,Srinagar,Delhi,2024-01-16 14:00,2024-01-16 14:00,3h 35m,0,9W,Jet Airways,8931,Good
FL-376,Trivandrum,Bangalore,2024-01-16 15:00,2024-01-16 15:00,1h 59m,0,9W,Jet Airways,8230,Excellent
FL-377,Trivandrum,Mumbai,2024-01-16 16:00,2024-01-16 16:00,5h 2m,0,9W,Jet Airways,8255,Good
FL-378,Tiruchirappalli,Madras,2024-01-16 17:00,2024-01-16 17:00,5h 54m,0,9W,Jet Airways,9756,Excellent
FL-379,Udaipur,Mumbai,2024-01-16 18:00,2024-01-16 18:00,5h 2m,0,9W,Jet Airways,8224,Good
FL-380,Udaipur,Delhi,2024-01-16 19:00,2024-01-16 19:00,5h 22m,0,9W,Jet Airways,4953,Good
FL-381,Varanasi,Kolkata,2024-01-16 20:00,2024-01-16 20:00,2h 5m,0,9W,Jet Airways,8937,Good
FL-382,Varanasi,Delhi,2024-01-16 21:00,2024-01-16 21:00,2h 12m,0,9W,Jet Airways,10134,Good
FL-383,Vishakhapatnam,Bangalore,2024-01-16 22:00,2024-01-16 22:00,5h 45m,0,9W,Jet Airways,6628,Good
FL-384,Vishakhapatnam,Mumbai,2024-01-16 23:00,2024-01-16 23:00,5h 46m,0,9W,Jet Airways,5755,Excellent
FL-385,Vishakhapatnam,Kolkata,2024-01-17 00:00,2024-01-17 00:00,3h 16m,0,9W,Jet Airways,13310,Excellent
FL-386,Agra,Mumbai,2024-01-17 01:00,2024-01-17 01:00,4h 57m,0,AI,Air India Limited,12723,Good
FL-387,Agra,Khajuraho,2024-01-17 02:00,2024-01-17 02:00,5h 35m,0,AI,Air India Limited,9696,Good
FL-388,Agatti Island,Kochi,2024-01-17 03:00,2024-01-17 03:00,5h 46m,0,AI,Air India Limited,9908,Good
FL-389,Aizwal,Kolkata,2024-01-17 04:00,2024-01-17 04:00,1h 34m,0,AI,Air India Limited,6399,Excellent
FL-390,Aizwal,Imphal,2024-01-17 05:00,2024-01-17 05:00,2h 9m,0,AI,Air India Limited,3722,Good
FL-391,Ahmedabad,Mumbai,2024-01-17 06:00,2024-01-17 06:00,3h 11m,0,AI,Air India Limited,12769,Good
FL-392,Ahmedabad,Delhi,2024-01-17 07:00,2024-01-17 07:00,1h 29m,0,AI,Air India Limited,11096,Excellent
FL-393,Ahmedabad,Hyderabad,2024-01-17 08:00,2024-01-17 08:00,1h 41m,0,AI,Air India Limited,12691,Excellent
FL-394,Amritsar,Delhi,2024-01-17 09:00,2024-01-17 09:00,5h 41m,0,AI,Air India Limited,8132,Good
FL-395,Bhubaneswar,Mumbai,2024-01-17 10:00,2024-01-17 10:00,4h 38m,0,AI,Air India Limited,3655,Good
FL-396,Bhubaneswar,Delhi,2024-01-17 11:00,2024-01-17 11:00,4h 4m,0,AI,Air India Limited,4750,Good
FL-397,Bhubaneswar,Port Blair,2024-01-17 12:00,2024-01-17 12:00,5h 27m,0,AI,Air India Limited,6607,Excellent
FL-398,Baroda,Delhi,2024-01-17 13:00,2024-01-17 13:00,5h 19m,0,AI,Air India Limited,5128,Good
FL-399,Bhopal,Mumbai,2024-01-17 14:00,2024-01-17 14:00,5h 10m,0,AI,Air India Limited,14473,Excellent
FL-400,Bhopal,Delhi,2024-01-17 15:00,2024-01-17 15:00,4h 44m,0,AI,Air India Limited,10495,Excellent
FL-401,Bangalore,Mumbai,2024-01-17 16:00,2024-01-17 16:00,1h 58m,0,AI,Air India Limited,13717,Excellent
FL-402,Bangalore,Kolkata,2024-01-17 17:00,2024-01-17 17:00,1h 43m,0,AI,Air India Limited,12759,Good
FL-403,Bangalore,Kochi,2024-01-17 18:00,2024-01-17 18:00,5h 55m,0,AI,Air India Limited,13340,Good
FL-404,Bangalore,Delhi,2024-01-17 19:00,2024-01-17 19:00,5h 53m,0,AI,Air India Limited,6553,Excellent
FL-405,Bangalore,Goa,2024-01-17 20:00,2024-01-17 20:00,3h 9m,0,AI,Air India Limited,8444,Excellent
FL-406,Bangalore,Hyderabad,2024-01-17 21:00,2024-01-17 21:00,4h 35m,0,AI,Air India Limited,10443,Good
FL-407,Bangalore,Mangalore,2024-01-17 22:00,2024-01-17 22:00,3h 33m,0,AI,Air India Limited,4179,Good
FL-408,Bangalore,Madras,2024-01-17 23:00,2024-01-17 23:00,2h 7m,0,AI,Air India Limited,14555,Excellent
FL-409,Bangalore,Trivandrum,2024-01-18 00:00,2024-01-18 00:00,2h 22m,0,AI,Air India Limited,3562,Excellent
FL-410,Mumbai,Agra,2024-01-18 01:00,2024-01-18 01:00,4h 15m,0,AI,Air India Limited,12163,Excellent
FL-411,Mumbai,Ahmedabad,2024-01-18 02:00,2024-01-18 02:00,1h 34m,0,AI,Air India Limited,12965,Excellent
FL-412,Mumbai,Bhubaneswar,2024-01-18 03:00,2024-01-18 03:00,3h 1m,0,AI,Air India Limited,11504,Good
FL-413,Mumbai,Bhopal,2024-01-18 04:00,2024-01-18 04:00,3h 18m,0,AI,Air India Limited,8070,Excellent
FL-414,Mumbai,Bangalore,2024-01-18 05:00,2024-01-18 05:00,4h 32m,0,AI,Air India Limited,5675,Excellent
FL-415,Mumbai,Kolkata,2024-01-18 06:00,2024-01-18 06:00,1h 5m,0,AI,Air India Limited,8353,Excellent
FL-416,Mumbai,Coimbatore,2024-01-18 07:00,2024-01-18 07:00,1h 22m,0,AI,Air India Limited,12203,Good
FL-417,Mumbai,Kochi,2024-01-18 08:00,2024-01-18 08:00,5h 10m,0,AI,Air India Limited,10324,Good
FL-418,Mumbai,Delhi,2024-01-18 09:00,2024-01-18 09:00,3h 59m,0,AI,Air India Limited,14075,Excellent
FL-419,Mumbai,Goa,2024-01-18 10:00,2024-01-18 10:00,4h 38m,0,AI,Air India Limited,10447,Good
FL-420,Mumbai,Gwalior,2024-01-18 11:00,2024-01-18 11:00,5h 36m,0,AI,Air India Limited,9396,Good
FL-421,Mumbai,Hyderabad,2024-01-18 12:00,2024-01-18 12:00,1h 7m,0,AI,Air India Limited,11591,Good
FL-422,Mumbai,Indore,2024-01-18 13:00,2024-01-18 13:00,4h 37m,0,AI,Air India Limited,12650,Good
FL-423,Mumbai,Allahabad,2024-01-18 14:00,2024-01-18 14:00,2h 53m,0,AI,Air India Limited,11415,Excellent
FL-424,Mumbai,Mangalore,2024-01-18 15:00,2024-01-18 15:00,5h 2m,0,AI,Air India Limited,8877,Good
FL-425,Mumbai,Aurangabad,2024-01-18 16:00,2024-01-18 16:00,3h 46m,0,AI,Air India Limited,5220,Excellent
FL-426,Mumbai,Jaipur,2024-01-18 17:00,2024-01-18 17:00,5h 22m,0,AI,Air India Limited,14920,Good
FL-427,Mumbai,Jodhpur,2024-01-18 18:00,2024-01-18 18:00,2h 41m,0,AI,Air India Limited,3312,Excellent
